id_municipio,y_num_empresas,x_pib_total,x_pop_total
4210852.0,121.0,96429.906,2511.0
4210902.0,305.0,179834.628,4080.0
4211009.0,598.0,1131737.394,10066.0
4211058.0,356.0,249273.48,9117.0
4211108.0,382.0,262775.246,7736.0
4211207.0,1245.0,919663.19,18537.0
4211256.0,153.0,174039.231,3010.0
4211306.0,4661.0,7166303.337,86401.0
4211405.0,397.0,255483.951,5155.0
4211454.0,249.0,167423.284,4536.0
4211504.0,1011.0,826323.501,13727.0
4211603.0,985.0,1165147.257,13664.0
4211652.0,138.0,140227.818,2643.0
4211702.0,1652.0,1273948.74,23661.0
4211751.0,1092.0,1107127.068,17312.0
4211801.0,488.0,261035.349,7032.0
4211850.0,109.0,177247.729,2181.0
4211876.0,96.0,74424.121,1927.0
4211892.0,87.0,93594.479,2215.0
4211900.0,12957.0,9105303.952,222598.0
4212007.0,448.0,330780.036,7605.0
4212056.0,160.0,181020.042,2561.0
4212106.0,978.0,1021331.589,15626.0
4212205.0,849.0,1048776.845,19150.0
4212239.0,154.0,184625.575,4267.0
4212254.0,557.0,274891.023,12897.0
4212270.0,248.0,175427.805,4034.0
4212304.0,459.0,299198.749,9063.0
4212403.0,235.0,286003.748,4245.0
4212502.0,2138.0,1147219.644,33663.0
4212601.0,276.0,145411.648,2992.0
4212650.0,263.0,138525.255,10190.0
4212700.0,290.0,247125.907,6716.0
4212809.0,2046.0,1587685.516,27127.0
4212908.0,1811.0,1738798.976,21972.0
4213005.0,246.0,241832.63,3473.0
4213104.0,631.0,419813.99,5769.0
4213153.0,188.0,152929.72,2946.0
4213203.0,2439.0,2964120.485,34289.0
4213302.0,192.0,171154.538,4437.0
4213351.0,183.0,153410.076,3210.0
4213401.0,680.0,322644.84,10649.0
4213500.0,2141.0,1721133.778,27688.0
4213609.0,1722.0,1347343.507,32970.0
4213708.0,1004.0,813931.902,17123.0
4213807.0,445.0,239795.286,8270.0
4213906.0,154.0,81851.137,1689.0
4214003.0,1211.0,1001043.455,20010.0
4214102.0,102.0,71753.181,2301.0
4214151.0,138.0,158481.834,2964.0
4214201.0,749.0,581416.575,11022.0
4214300.0,275.0,166661.777,3279.0
4214409.0,292.0,300067.482,6253.0
4214508.0,349.0,240771.651,6452.0
4214607.0,379.0,296743.23,7747.0
4214706.0,760.0,506213.884,10865.0
4214805.0,6020.0,4306891.4,72587.0
4214904.0,379.0,315109.729,4847.0
4215000.0,2645.0,1709158.99,39261.0
4215059.0,124.0,86405.101,2397.0
4215075.0,274.0,169647.645,4768.0
4215109.0,758.0,452502.288,12757.0
4215208.0,245.0,112803.834,4823.0
4215307.0,548.0,343522.156,7489.0
4215356.0,144.0,99145.921,3632.0
4215406.0,287.0,307000.985,4390.0
4215455.0,684.0,569973.677,12882.0
4215505.0,930.0,678193.565,15546.0
4215554.0,133.0,121919.142,2425.0
4215604.0,161.0,89003.248,2088.0
4215653.0,466.0,229214.071,9792.0
4215679.0,296.0,268998.678,8066.0
4215687.0,158.0,92259.567,2576.0
4215695.0,94.0,52159.544,1651.0
4215703.0,1650.0,1377649.898,27272.0
4215752.0,138.0,101830.906,2684.0
4215802.0,5326.0,4807395.768,83277.0
4215901.0,158.0,228604.85,2946.0
4216008.0,656.0,655147.95,10282.0
4216057.0,302.0,188145.667,6084.0
4216107.0,705.0,501291.152,9226.0
